,gamma,p
0,37000,228.47751962784392
1,37010,228.47773154097635
2,37020,228.47795251808978
3,37030,228.47815199772847
4,37040,228.4783192711316
5,37050,228.47849354773757
6,37060,228.4786298680961
7,37070,228.4787540174392
8,37080,228.47887258748645
9,37090,228.47897274913973
10,37100,228.47906006123543
11,37110,228.47910267014896
12,37120,228.47916710581487
13,37130,228.47919391421735
14,37140,228.4792087720404
15,37150,228.47920316257452
16,37160,228.47918007932526
17,37170,228.4791493856924
18,37180,228.4790825264616
19,37190,228.4790254796325
20,37200,228.478938277143
21,37210,228.4788421866116
22,37220,228.4787233555114
23,37230,228.47858467981848
24,37240,228.47844886052937
25,37250,228.47828437036983
26,37260,228.47809238757733
27,37270,228.47788750054724
28,37280,228.4776921487582
29,37290,228.4774532479569
30,37300,228.47722038595896
31,37310,228.47694926723216
32,37320,228.47668346769655
33,37330,228.47637636674102
34,37340,228.47606716158066
35,37350,228.47573801648258
36,37360,228.47540093356795
37,37370,228.47504489455883
38,37380,228.47466776752398
39,37390,228.47427188999322
40,37400,228.47386486440274
41,37410,228.47345066814538
42,37420,228.47300670522318
43,37430,228.47255653619362
44,37440,228.4720840759675
45,37450,228.47160051944928
46,37460,228.47111651616493
47,37470,228.47058275744573
48,37480,228.470051747812
49,37490,228.4694963911905
50,37500,228.46892115036144
51,37510,228.46834305703516
52,37520,228.46775415982043
53,37530,228.467136987324
54,37540,228.46650937997265
55,37550,228.46586267102185
56,37560,228.46519483317962
57,37570,228.4645254677687
58,37580,228.46383807599665
59,37590,228.46313768003085
60,37600,228.46240862705466
61,37610,228.4616720650803
62,37620,228.46092551893227
63,37630,228.46014483389067
64,37640,228.45934533252137
65,37650,228.45855205442956
66,37660,228.4577390481356
67,37670,228.45688842255524
68,37680,228.4560505060255
69,37690,228.455181662523
70,37700,228.45430048439064
71,37710,228.45341724903662
72,37720,228.45249507856897
73,37730,228.45155834927556
74,37740,228.45062431505167
75,37750,228.44966805888978
76,37760,228.44869137948936
77,37770,228.4477152670321
78,37780,228.44669822717506
79,37790,228.44568432697852
80,37800,228.44464123601156
81,37810,228.44359556038526
82,37820,228.4425237519269
83,37830,228.44144939069707
84,37840,228.44033111786763
85,37850,228.43923445278443
86,37860,228.43811312885612
87,37870,228.43695534688808
88,37880,228.4357941526551
89,37890,228.43462339144145
90,37900,228.43343673613597
91,37910,228.43223107658707
92,37920,228.43101514770743
93,37930,228.4297807987865
94,37940,228.42852624636237
95,37950,228.42726620270497
96,37960,228.42597805113223
97,37970,228.42467675215383
98,37980,228.42336772542825
99,37990,228.4220373237938
